addbreakpoint; Debugger methods; ALL; ; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/addbreakpoint.rtf
Dec; Memory routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800, AMSTRADCPC, VZ200 , TIKI100, SPECTRUM, MSX, Z80, Z180, GAMEBOY, PX86, M6809; address; 
Fill; Memory routines; MOS6502, PX86; address, byte, byte; 
FillFast; Memory routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800,PX86; address, byte, byte; 
SetMemoryConfig; Memory routines; C64, MEGA65,  VIC20, PET,  NES; byte, byte, byte; 
CopyHalfScreen; Memory routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES; address, address, byte, byte, number; 
CopyFullScreen; Memory routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES; address, address; 
Lo; Memory routines; MOS6502, Z80, Z180, M6809; address; 
Hi; Memory routines; MOS6502, Z80, Z180, M6809; address; 
bankbyte; Memory routines; MOS6502, WDC65C02, WDC65C816, CUSTOM; address; 
ToPointer; Memory routines; MOS6502; byte, byte; 
int2ptr; Memory routines; MOS6502; integer; 
CreateInteger; Memory routines; MOS6502; byte, byte; 
CreatePointer; Memory routines; MOS6502; byte, byte; 
outportb; Memory routines; X86; integer, byte; 
inportb; Memory routines; X86; integer; 
genint; Memory routines; X86; integer; 
CopyBytesShift; Memory routines; X16,C64, MEGA65, PLUS4,C128, VIC20, PET,  NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; address, address, byte, byte, number; 
CreateAddressTable; Memory routines; X16,C64, MEGA65, PLUS4,C128, VIC20, PET, NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; address, number, byte, byte; 
AddressTable; Memory routines; X16,C64, MEGA65, PLUS4,C128, VIC20, PET, NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; address, byte, byte; 
Nop; Memory routines; X16,C128, C64, MEGA65, PLUS4, VIC20, PET, NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800, AMSTRADCPC, VZ200 , X86, M1ARM, AMIGA, ATARI520ST, M6809, Z80, Z180; number; 
SetMemoryConfig; Memory routines; C128; number, number, number, number, number; 
SetMemoryConfig; Memory routines; PLUS4; byte; 
Decrunch; Memory routines; C64, MEGA65, PLUS4, C128, VIC20, PET, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; address; 
DecrunchFromIndex; Memory routines; C64, MEGA65, PLUS4, C128, VIC20, PET, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; address, byte; 
CopyCharsetFromRom; Charset routines; C64, PLUS4, C128; address; 
SetCharsetLocation; Charset routines; C64,  PLUS4, C128, VIC20, MEGA65; number; 
SetScreenLocation; Charset routines; C64,  PLUS4, C128, VIC20, MEGA65; number; 
SetCharsetAndScreenLocation; Charset routines; C64, C128, MEGA65; number, number; 
SetBitmapLocation; Charset routines; C128; number; 
LoadPalette; Charset routines; NES; address; 
ReadInput; Charset routines; NES; ; 
PPUBackgroundDump; Charset routines; NES; address, byte, byte; 
PPUAttributeDump; Charset routines; NES; address, byte, byte; 
PPUSingle; Charset routines; NES; byte, byte, byte; 
PPUPoint; Charset routines; NES; byte, byte; 
PPUPointI; Charset routines; NES; integer; 
PPUWrite; Charset routines; NES; byte; 
PPURead; Charset routines; NES; byte, byte; 
LoadSong; Charset routines; NES; byte; 
PlaySong; Charset routines; NES; ; 
PPUDrawColumn; Charset routines; NES; address, byte, byte, byte; 
ToggleNMI; Charset routines; NES; number; 
ToggleVRAM32Inc; Charset routines; NES; number; 
ToggleSpriteTableAddress; Charset routines; NES; number; 
ToggleBackgroundTableAddress; Charset routines; NES; number; 
SetNameTable; Charset routines; NES; byte; 
ToggleGreyscale; Charset routines; NES; number; 
ToggleSprites; Charset routines; NES; number; 
ToggleBackground; Charset routines; NES; number; 
ToggleBorderSprites; Charset routines; NES; number; 
ToggleBorderBackground; Charset routines; NES; number; 
SetSpriteLocation; Charset routines; NES; byte; 
Split; Charset routines; NES; ; 
Scroll; Charset routines; NES; byte, byte; 
ToggleSpriteSize; Charset routines; NES; number; 
KrillLoad; Charset routines; C64, MEGA65, PLUS4; address; 
KrillLoadCompressed; Charset routines; C64, MEGA65, PLUS4; address; 
InitKrill; Charset routines; C64, MEGA65, PLUS4; ; 
Tile; Screen routines; C64, MEGA65, PLUS4, C128, VIC20, PET; address, address, address, address, byte, number; 
MoveTo; Screen routines; C64, MEGA65, PLUS4, C128, VIC20, NES,PET; byte, byte, byte; 
ScrollY; Screen routines; C64, MEGA65, PLUS4, C128; byte; 
ScrollX; Screen routines; C64, MEGA65, PLUS4, C128; byte; 
hideborderx; Screen routines; C64, MEGA65, PLUS4, C128; byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/hideborderx.rtf
hidebordery; Screen routines; C64, MEGA65, PLUS4, C128; byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/hidebordery.rtf
ClearScreen; Screen routines; C64, MEGA65, PLUS4, C128, VIC20, NES, PET; byte, address; 
ClearBitmap; Screen routines; C64, MEGA65, PLUS4, C128; address, byte; 
SetMultiColorMode; Screen routines; C64, MEGA65, C128; ; 
SetRegularColorMode; Screen routines; C64, MEGA65,  C128; ; 
SetBitmapMode; Screen routines; C64, MEGA65,  C128; ; 
SetTextMode; Screen routines; C64, MEGA65,  C128; ; 
SetBank; Screen routines; C64, MEGA65, C128; byte; 
ScreenOff; Screen routines; C64, MEGA65, PLUS4, C128; ; 
ScreenOn; Screen routines; C64, MEGA65, PLUS4, C128; ; 
CopyImageColorData; Screen routines; C64, MEGA65, PLUS4, C128; address, number; 
DrawTextBox; Screen routines; C64, MEGA65, PLUS4, C128, NES, VIC20, PET; address, address, byte, byte, byte, byte; 
DrawColorTextBox; Screen routines; C64, MEGA65, PLUS4, C128, NES, VIC20, PET; address, address, address, byte, byte, byte, byte, byte; 
BcdPrint; Screen routines; C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, OK64; address, number; 
PrintString; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET, X16; string, byte, byte; 
PrintNumber; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET,  X16; byte; 
PrintDecimal; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET,  X16; integer, number; 
StrToLower; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET, X16, OK64; address; 
StrToUpper; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET, X16, OK64; address; 
StrCmp; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET, X16, OK64; string, string; 
StrSplit; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET, X16, OK64; address, address, byte; 
StrGetFromIndex; String routines; C64, MEGA65, PLUS4, C128, VIC20, PET, X16, OK64; address, byte; 
SpritePos; Sprite routines; C64, MEGA65, PLUS4, C128; integer or byte, byte, byte; 
SetSpriteLoc; Sprite routines; C64, PLUS4, C128,  MEGA65; byte, byte, number; 
PlaySound; Sound/music routines; C64, MEGA65, PLUS4, C128, OK64; byte, byte, byte, byte, byte, byte, byte; 
SetFrequency; Sound/music routines; C64, MEGA65, PLUS4, C128, OK64; byte, byte; 
InitSid; Sound/music routines; C64, MEGA65, PLUS4, C128,VIC20, OK64; address; 
ClearSound; Sound/music routines; C64, MEGA65, PLUS4, C128, OK64; ; 
InitModPlayer; Vic 20 music routines; VIC20; byte, byte; 
PlayMod; Vic 20 music routines; VIC20; ; 
PlayVIC20Sid; Vic 20 music routines; VIC20; address; 
mod; Math routines; Z80, Z180, GBZ80, Z180, M6809; integer, byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/mod.rtf
Atan2; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES , OK64, BBCM, ACORN, ATARI800; byte, byte, byte, byte; 
Sqrt; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, OK64, BBCM, ACORN, ATARI800; integer or byte; 
Swap; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; byte, byte; 
Abs; Math routines; MOS6502, M68000, M6809, Z80; integer or byte; 
Rand; Math routines; C64, MEGA65, PLUS4, C128; byte, byte, byte; 
Random; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; ; 
mod; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, NES, OK64, PET, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; integer or byte, byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/mod.rtf
mod16; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, NES, OK64, PET, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; integer or byte, byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/mod16.rtf
max; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, NES, OK64, PET, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; byte, byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/max.rtf
min; Math routines; X16,C64, MEGA65, PLUS4, C128, VIC20, NES, OK64, PET, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800; byte, byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/min.rtf
mod; Math routines; M68000; integer, integer; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/mod.rtf
IsOverlapping; Collision routines; MOS6502; byte, byte, byte, byte, byte; 
IsOverlappingWH; Collision routines; MOS6502; byte, byte, byte, byte, byte, byte; 
Wait; Other routines; MOS6502, Z80, Z180; byte; 
Jammer; Other routines; C64, MEGA65, PLUS4, C128; number, number; 
FLD; Other routines; C64, MEGA65, PLUS4, C128; byte, number; 
TransformColors; Other routines; C64, MEGA65, PLUS4, C128; address, address; 
Call; Other routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800, MSX, SPECTRUM, GAMEBOY, AMSTRADCPC, VZ200, Z80, Z180; address; 
Loop; Other routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800, Amiga, ATARI520ST, PX86, Z80, Z180, M6809; ; 
ReturnValue; Other routines; X16,C64, MEGA65, PLUS4, C128, VIC20, PET,  NES, Amiga, ATARI520ST, OK64, ATARI2600, APPLEII, SNES, ORIC, BBCM, ACORN, ATARI800, AMSTRADCPC, VZ200, Z80, Z180; byte; 
Set2MhzMode; Other routines; C128; ; 
Set1MhzMode; Other routines; C128; ; 
RightBitShift; Other routines; MOS6502; address, number; 
LeftBitShift; Other routines; MOS6502; address, number; 
BcdAdd; Other routines; MOS6502; address, address, number; 
BcdCompare; Other routines; MOS6502; address, address, number; 
BcdIsEqual; Other routines; MOS6502; address, address, number; 
BcdSub; Other routines; MOS6502; address, address, number; 
Joystick; Io ports; C64, MEGA65, PLUS4, C128, VIC20, OK64; number; 
Keypressed; Io ports; C64, MEGA65, PLUS4, C128, VIC20; byte; 
ReadJoy1; Io ports; C64, MEGA65, VIC20; ; 
ReadJoy2; Io ports; C64, MEGA65; ; 
NmiIRQ; IRQ routines; MOS6502; procedure; 
EnableRasterIRQ; IRQ routines; C64, MEGA65, PLUS4, C128, X16; ; 
StartIRQ; IRQ routines; MOS6502; byte; 
StartIRQWedge; IRQ routines; C64, MEGA65, PLUS4, C128; byte; 
StartRasterChain; IRQ routines; C64, MEGA65, PLUS4, C128; procedure, byte, number; 
CloseIRQ; IRQ routines; MOS6502, M68000; ; 
CloseIRQWedge; IRQ routines; C64, MEGA65, PLUS4, C128; ; 
EnableIRQ; IRQ routines; MOS6502, X16, MEGA65; ; 
PreventIRQ; IRQ routines; MOS6502, X16, MEGA65; ; 
DisableCIAInterrupts; IRQ routines; C64, MEGA65, PLUS4, C128,X16; ; 
RasterIRQ; IRQ routines; C64, MEGA65, PLUS4, C128; procedure, byte, number; 
RasterIRQ; IRQ routines; BBCM, ACORN, ATARI800; procedure; 
RasterIRQWedge; IRQ routines; C64, MEGA65, PLUS4, C128; procedure, byte, number; 
ReturnInterrupt; IRQ routines; MOS6502; ; 
WaitForRaster; IRQ routines; C64, MEGA65, PLUS4, C128, VIC20, OK64, GAMEBOY, SPECTRUM, MSX,  TIKI100; byte; 
WaitNoRaster; IRQ routines; C64, MEGA65, PLUS4, C128, VIC20, OK64, GAMEBOY, SPECTRUM, MSX,  TIKI100; byte; 
WaitForVerticalBlank; IRQ routines; C64, MEGA65, C128, X86, M1ARM, GAMEBOY, MSX,  TIKI100; ; 
DisableVIC20IRQ; IRQ routines; VIC20; ; 
VIAIRQ; IRQ routines; VIC20; procedure, byte, byte; 
VIARasterIRQ; IRQ routines; VIC20; procedure, byte, byte; 
init_cga_scanlines; IRQ routines; X86, M1ARM; ; 
init_playnote; IRQ routines; X86, M1ARM; ; 
init_drawline_cga; IRQ routines; X86, M1ARM; ; 
init_drawline_cga; IRQ routines; X86, M1ARM; ; 
init_keyboard_irq; IRQ routines; X86, M1ARM; ; 
SetScreenMode; IRQ routines; X86, M1ARM; byte; 
VGAClearScreen32; IRQ routines; X86, M1ARM; byte; 
VGAClearScreen16; IRQ routines; X86, M1ARM; byte; 
ScrollX; IRQ routines; X86, M1ARM; byte; 
